"domainid","siteid","plotid","date","enddate","plottype","plotsize","mixedsite","yearboutbegan","samplingprotocolversion","targettaxapresent","randomsubplota","randomsubplotb","treespresent","treesabsentlist_ingest","shrubspresent","shrubsabsentlist_ingest","lianaspresent","lianasabsentlist_ingest","cactipresent","cactiabsentlist_ingest","fernspresent","fernsabsentlist_ingest","yuccaspresent","yuccaabsentlist_ingest","palmspresent","palmsabsentlist_ingest","ocotillospresent","ocotillosabsentlist_ingest","xerophyllumpresent","xerophyllumabsentlist_ingest","nestedsubplotareashrubsapling","nestedsubplotarealiana","nestedsubplotareaother","totalsampledareatrees","totalsampledareashrubsapling","totalsampledarealiana","totalsampledareaother","remarks","dataqf"
"D01","BART","BART_070","2016-09-12T00:00:00.000Z","2016-09-12","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_070","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","Y","39_1|41_1|41_4","N",NA,"N",NA,"Y","39_1|39_3|41_1","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","10",800,400,800,40,NA,NA
"D01","BART","BART_071","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","21","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",400,400,400,400,NA,NA
"D01","BART","BART_032","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_071","2016-08-07T00:00:00.000Z","2016-08-07","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_032","2016-08-02T00:00:00.000Z","2016-08-02","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y",NA,"N",NA,"N",NA,"N",NA,"Y",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_047","2016-08-01T00:00:00.000Z","2016-08-01","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","Y","21_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","100",800,400,800,400,NA,NA
"D01","BART","BART_036","2016-08-23T00:00:00.000Z","2016-08-23","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_033","2016-08-23T00:00:00.000Z","2016-08-23","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_037","2016-09-14T00:00:00.000Z","2016-09-14","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_041","2016-08-16T00:00:00.000Z","2016-08-16","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_044","2016-09-13T00:00:00.000Z","2016-09-13","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_051","2016-08-24T00:00:00.000Z","2016-08-24","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_074","2016-09-12T00:00:00.000Z","2016-09-12","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_046","2016-08-01T00:00:00.000Z","2016-08-01","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_072","2016-08-03T00:00:00.000Z","2016-08-03","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"10","noneSelected","noneSelected",800,40,800,800,NA,NA
"D01","BART","BART_042","2016-08-03T00:00:00.000Z","2016-08-03","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","Y","39_3|41_1|41_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","BART","BART_075","2016-08-22T00:00:00.000Z","2016-08-22","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","41","Y","presentInAll","Y","41","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_073","2016-08-30T00:00:00.000Z","2016-08-30","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","BART","BART_040","2016-09-06T00:00:00.000Z","2016-09-06","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","Y","21","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","100",800,800,800,400,NA,NA
"D01","BART","BART_039","2016-08-30T00:00:00.000Z","2016-08-30","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","Y","39","N",NA,"N",NA,"Y","39_3","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","25",800,800,800,100,NA,NA
"D01","BART","BART_050","2016-08-24T00:00:00.000Z","2016-08-24","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","Y","41","N",NA,"N",NA,"Y","41_1|41_4","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","25",800,800,800,100,NA,NA
"D01","BART","BART_032","2016-09-07T00:00:00.000Z","2016-09-07","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_033","2016-08-23T00:00:00.000Z","2016-08-23","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_040","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","100",400,400,400,400,NA,NA
"D01","BART","BART_047","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","100",800,400,800,400,NA,NA
"D01","BART","BART_034","2016-08-17T00:00:00.000Z","2016-08-17","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","100","100",800,400,400,400,NA,NA
"D01","BART","BART_033","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_034","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_036","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",400,400,400,400,NA,NA
"D01","BART","BART_037","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_039","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","39_3|41_4","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","BART","BART_041","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_042","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","BART","BART_046","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_050","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","41_1|41_4|41","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","BART","BART_051","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","41","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_072","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"10","noneSelected","noneSelected",800,40,800,800,NA,NA
"D01","BART","BART_073","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","23","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_074","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","BART","BART_075","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","BART","BART_044","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","HARV","HARV_047","2017-07-12T00:00:00.000Z","2017-07-12","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","Y","21_1|21_4|41_1","N",NA,"N",NA,"Y","21_1|41_4","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","10",800,100,800,40,NA,NA
"D01","HARV","HARV_042","2017-07-13T00:00:00.000Z","2017-07-13","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","Y","39_3|41_4","N",NA,"N",NA,"Y","41_1","N",NA,"N",NA,"N",NA,"N",NA,"10","noneSelected","25",800,40,800,100,NA,NA
"D01","HARV","HARV_033","2017-07-12T00:00:00.000Z","2017-07-12","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","23","Y","presentInAll","Y","21_4|23_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","100",400,400,400,400,NA,NA
"D01","HARV","HARV_034","2017-07-12T00:00:00.000Z","2017-07-12","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"10","noneSelected","100",400,400,400,400,NA,NA
"D01","HARV","HARV_044","2017-07-13T00:00:00.000Z","2017-07-13","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","41","Y","presentInAll","Y","presentInAll","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","10",800,100,800,40,NA,NA
"D01","HARV","HARV_043","2017-07-10T00:00:00.000Z","2017-07-10","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","21","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","21","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","HARV","HARV_039","2017-07-13T00:00:00.000Z","2017-07-13","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","39_3|41_1","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","HARV","HARV_048","2017-07-11T00:00:00.000Z","2017-07-11","tower","1600","FALSE",2017,"NEON.DOC.000987vG","Y","23","39","Y","presentInAll","Y","presentInAll","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","HARV","HARV_043","2016-07-28T00:00:00.000Z","2016-07-28","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","39","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","21","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","HARV","HARV_039","2016-07-25T00:00:00.000Z","2016-07-25","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y",NA,"N",NA,"N",NA,"N",NA,"Y",NA,"N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,"Nested Subplot 3 of Subplot 39 and Nested Subplot 1 of Subplot 41 contained no target taxa.",NA
"D01","HARV","HARV_052","2016-07-28T00:00:00.000Z","2016-07-28","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","HARV","HARV_047","2016-09-28T00:00:00.000Z","2016-09-28","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y",NA,"Y",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","noneSelected",800,100,800,800,NA,NA
"D01","HARV","HARV_038","2016-07-27T00:00:00.000Z","2016-07-27","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","Y","23_4|39_1|39_3","N",NA,"N",NA,"Y","23_4|39_1|39_3","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","10",800,400,800,40,NA,NA
"D01","HARV","HARV_035","2016-07-28T00:00:00.000Z","2016-07-28","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","23","Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","noneSelected",800,800,800,800,NA,NA
"D01","HARV","HARV_049","2016-07-27T00:00:00.000Z","2016-07-27","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","41","Y","presentInAll","Y","23_2|23_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","100",800,400,800,400,NA,NA
"D01","HARV","HARV_045","2016-07-25T00:00:00.000Z","2016-07-25","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","23","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","HARV","HARV_051","2016-07-27T00:00:00.000Z","2016-07-27","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","Y","presentInAll","N",NA,"N",NA,"Y","23_4","N",NA,"N",NA,"N",NA,"N",NA,"noneSelected","noneSelected","25",800,800,800,100,NA,NA
"D01","HARV","HARV_047","2016-07-26T00:00:00.000Z","2016-07-26","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","Y","21_1|21_4|41_1","N",NA,"N",NA,"Y","21_1|41_4","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","10",800,100,800,40,"Nested Subplot 1 of Subplot 21 and Nested Subplot 4 of Subplot 41 contained no target taxa.",NA
"D01","HARV","HARV_040","2016-07-28T00:00:00.000Z","2016-07-28","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","41","Y","presentInAll","Y","23_4","N",NA,"N",NA,"Y","41_4","N",NA,"N",NA,"N",NA,"N",NA,"1","noneSelected","1",800,4,800,4,NA,NA
"D01","HARV","HARV_036","2016-07-25T00:00:00.000Z","2016-07-25","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","23","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","23_2","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","1",800,100,800,4,NA,NA
"D01","HARV","HARV_042","2016-07-25T00:00:00.000Z","2016-07-25","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","Y","39_3|41_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"10","noneSelected","25",800,40,800,100,NA,NA
"D01","HARV","HARV_033","2016-07-26T00:00:00.000Z","2016-07-26","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","23","Y","presentInAll","Y","21_4|23_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","100",800,400,800,400,NA,NA
"D01","HARV","HARV_050","2016-07-27T00:00:00.000Z","2016-07-27","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","Y","21_1|21_4","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","noneSelected",800,400,800,800,NA,NA
"D01","HARV","HARV_044","2016-07-26T00:00:00.000Z","2016-07-26","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","21","41","Y","presentInAll","Y","presentInAll","N",NA,"N",NA,"Y","presentInAll","N",NA,"N",NA,"N",NA,"N",NA,"25","noneSelected","10",800,100,800,40,NA,NA
"D01","HARV","HARV_039","2016-07-25T00:00:00.000Z","2016-07-25","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","39","41","Y","presentInAll","N",NA,"N",NA,"N",NA,"Y","39_3|41_1","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","25",800,400,800,100,NA,NA
"D01","HARV","HARV_041","2016-07-27T00:00:00.000Z","2016-07-27","tower","1600","FALSE",2016,"NEON.DOC.000987vE","Y","23","39","Y","presentInAll","Y","presentInAll","N",NA,"N",NA,"Y","23_2|23_4|39_3","N",NA,"N",NA,"N",NA,"N",NA,"100","noneSelected","100",800,400,800,400,NA,NA
